392,164,478,159,479,184,393,189	Salmson	0
309,176,383,173,383,190,313,194	78400 CHATOU France	0
311,195,381,195,381,213,311,213	Type  DIL 408 - 22/4 	0
311,215,367,215,367,230,311,230	N° art 2034533	0
366,214,478,218,478,235,366,231	N° série 877 305 16569 0902	0
367,280,425,289,422,306,364,298	Made in EU	0
443,285,474,288,471,312,440,309	CE	0
314,233,358,235,358,253,311,249	T min 20°C	0
311,251,359,255,361,273,310,265	T max  140 °C	0
362,234,414,238,414,258,360,253	P 4 kW	0
364,256,484,266,485,287,366,276	n 1450 min -1  50 Hz	0
