378,534,474,539,472,571,378,567	MITSUBISHIELECTRIC	0
554,535,660,535,660,584,554,584	OCEX	0
333,561,480,570,479,588,332,580	AIR-CONDITIONER	0
332,582,507,591,506,608,331,600	MODEL PUHZ-ZRP100VKA2	0
335,601,481,608,480,626,334,618	SERVICEREFPUHZ-ZRP100VKA2UK	0
519,592,546,592,546,608,519,608	G)	0
335,645,497,656,496,674,334,662	MAX.CURRENT (OUTDOOR ONLY	0
337,669,438,675,437,692,336,686	N230V50HZ	0
455,680,485,680,485,691,455,691	R410A	0
355,692,432,696,431,714,354,709	116gP24	0
551,685,568,685,568,695,551,695	5.0	0
591,685,639,688,638,703,590,700	kg 30m	0
339,721,371,721,371,732,339,732	HP PS	0
398,719,439,725,437,739,396,734	4.15MPa	0
341,736,370,741,368,751,339,746	PPS	0
401,737,438,742,436,757,399,751	23MPa	0
444,709,646,725,643,753,454,734	SERIAL NO 5A00208	0
450,740,645,752,644,771,449,758	YEAROFMANUFACTURE 01.2015	0
523,806,552,810,550,825,521,821	RAAOA	0
