1058,778,2126,804,2124,866,1057,841	Ventilateur extracteur de fumée et de chaleur	0
859,854,1148,864,1141,1076,852,1066	CE	0
891,1070,1127,1083,1122,1170,886,1157	1812	0
1623,865,2021,878,1943,999,1573,974	AIRAR Gérance libre SMTI	0
1231,985,2258,1008,2253,1058,1235,1032	Certificat N° : 1812-CPD-0092	0
1236,1042,2254,1068,2253,1109,1227,1080	Norme Ref : EN 12101-3 : 2002	0
1234,1089,2255,1120,2251,1159,1231,1133	Temps de réponse : NPD	0
1238,1141,2252,1165,2249,1216,1229,1185	Classe de réponse au feu : F 400 120	0
847,1194,1940,1223,1939,1270,843,1241	Année de fabrication  2014	0
845,1259,1731,1283,1730,1330,840,1306	N° de série : 59169	0
1877,1280,2240,1293,2236,1345,1877,1333	N° d'appareil : 02	0
845,1309,2029,1342,2025,1398,844,1363	Modèle : HELICOIDE HCC 1000-3-29° - A	0
846,1368,2236,1406,2232,1450,841,1413	Puissance 10 / 2 Kw	0
845,1420,2210,1455,2210,1503,840,1464	Intensité : 19.5 / 6.50 A	0
852,1468,2247,1508,2245,1563,848,1525	Tension sous : 400 V  50 Hz	0
850,1524,2249,1567,2248,1619,848,1580	Vitesse nominale du moteur :  1451 / 731  Tr/min	0
844,1585,1914,1611,1907,1666,837,1637	Classe d'isolation thermique moteur :  H	0
849,1641,1907,1669,1905,1715,849,1688	Fixation moteur :  B3	0
851,1692,1150,1700,1147,1747,841,1741	Plan N° : 130031	0
1174,1697,1392,1705,1389,1758,1165,1754	Indice N° : 3	0
1499,1711,2183,1726,2183,1780,1493,1759	Repère : VED PARK 02	0
