144,155,168,155,176,461,153,461	CENTRALE DE DETECTION MX42 A	0
181,154,199,154,199,206,181,206	2 voles	0
208,157,222,157,222,214,208,214	50/60 Hz	0
227,160,241,160,241,214,227,214	50/60 Hz	0
242,161,259,161,263,262,246,262	DATE CODE 1360	0
258,163,274,163,277,260,261,260	N° DE SERIE 015	0
203,211,223,210,226,294,207,295	0.63 A 85 VA	0
224,210,241,210,244,292,230,291	1.25A85VA	0
169,292,194,292,194,334,169,334	3	0
186,389,201,389,201,437,186,437	4 voles	0
281,431,294,431,294,271,281,271	OLDHAM  ZIEST  62 ARRAS	0
